Commodity	Contract_Type	Delivery_Month	Delivery_Year	Strike_Price	Business_Date	Match_Time	Price_Indicator	Price	Message_Code	Amend_Code	Volume
CWF	F	F	2023	0000000	20230105	225500	 	0000012400	Y	D	00005
CWF	F	F	2023	0000000	20230105	230000	 	0000012500	Y	D	00005
CWF	F	G	2023	0000000	20230105	225500	 	0000012400	Y	D	00005
CWF	F	G	2023	0000000	20230105	230000	 	0000012500	Y	D	00005
CWF	F	H	2023	0000000	20230105	225500	 	0000012400	Y	D	00005
CWF	F	H	2023	0000000	20230105	230000	 	0000012500	Y	D	00005
CWF	F	J	2023	0000000	20230105	225500	 	0000012400	Y	D	00005
CWF	F	J	2023	0000000	20230105	230000	 	0000012500	Y	D	00005
CWF	F	K	2023	0000000	20230105	225500	 	0000012400	Y	D	00005
CWF	F	K	2023	0000000	20230105	230000	 	0000012500	Y	D	00005
CWF	F	M	2023	0000000	20230105	225500	 	0000012400	Y	D	00005
CWF	F	M	2023	0000000	20230105	230000	 	0000012500	Y	D	00005
CWF	F	N	2023	0000000	20230105	225500	 	0000012400	Y	D	00005
CWF	F	N	2023	0000000	20230105	230000	 	0000012500	Y	D	00005
CWF	F	Q	2023	0000000	20230105	225500	 	0000012400	Y	D	00005
CWF	F	Q	2023	0000000	20230105	230000	 	0000012500	Y	D	00005
CWF	F	U	2023	0000000	20230105	225500	 	0000012400	Y	D	00005
CWF	F	U	2023	0000000	20230105	230000	 	0000012500	Y	D	00005
CWF	F	V	2023	0000000	20230105	225500	 	0000012400	Y	D	00005
CWF	F	V	2023	0000000	20230105	230000	 	0000012500	Y	D	00005
CWF	F	X	2023	0000000	20230105	225500	 	0000012400	Y	D	00005
CWF	F	X	2023	0000000	20230105	230000	 	0000012500	Y	D	00005
CWF	F	Z	2023	0000000	20230105	225500	 	0000012400	Y	D	00005
CWF	F	Z	2023	0000000	20230105	230000	 	0000012500	Y	D	00005
FEF	C	H	2023	0013000	20230105	171834	 	0000000240	Y	D	00100
FEF	C	H	2023	0013000	20230105	171834	 	0000000240	Y	D	00100
FEF	P	H	2023	0008400	20230105	171834	 	0000000055	Y	D	00100
FEF	P	H	2023	0008400	20230105	171834	 	0000000055	Y	D	00100
FEF	P	H	2023	0010000	20230105	171834	 	0000000280	Y	D	00200
FEF	P	H	2023	0010000	20230105	171834	 	0000000280	Y	D	00200
FEF	P	H	2023	0011400	20230105	171834	 	0000000780	Y	D	00100
FEF	P	H	2023	0011400	20230105	171834	 	0000000780	Y	D	00100
PVF	F	J	2023	0000000	20230105	175450	 	0000013350	Y	D	00005
PVF	F	J	2023	0000000	20230105	175450	 	0000013350	Y	D	00005
PVF	F	K	2023	0000000	20230105	175450	 	0000013350	Y	D	00005
PVF	F	K	2023	0000000	20230105	175450	 	0000013350	Y	D	00005
PVF	F	M	2023	0000000	20230105	175450	 	0000013350	Y	D	00005
PVF	F	M	2023	0000000	20230105	175450	 	0000013350	Y	D	00005
PVF	F	N	2023	0000000	20230105	175450	 	0000013350	Y	D	00005
PVF	F	N	2023	0000000	20230105	175450	 	0000013350	Y	D	00005
PVF	F	Q	2023	0000000	20230105	175450	 	0000013350	Y	D	00005
PVF	F	Q	2023	0000000	20230105	175450	 	0000013350	Y	D	00005
